date,earlyRelease,teacherWorkday,homeroom,holiday
10/3/2024,false,true,false,false
10/14/2024,false,true,false,false
11/1/2024,false,true,false,false
11/5/2024,false,true,false,false
11/11/2024,false,false,false,true
11/27/2024,false,false,false,true
11/28/2024,false,false,false,true
11/29/2024,false,false,false,true
12/23/2024,false,false,false,true
12/24/2024,false,false,false,true
12/25/2024,false,false,false,true
12/26/2024,false,false,false,true
12/27/2024,false,false,false,true
12/28/2024,false,false,false,true
12/29/2024,false,false,false,true
12/20/2024,false,false,false,true
12/31/2024,false,false,false,true
1/1/2025,false,false,false,true
1/2/2025,false,true,false,false
1/20/2025,false,false,false,true
1/21/2025,false,true,false,false
2/17/2025,false,true,false,false
3/14/2025,false,true,false,false
3/31/2025,false,false,false,true
4/1/2025,false,false,false,true
4/2/2025,false,false,false,true
4/3/2025,false,false,false,true
4/4/2025,false,false,false,true
4/7/2025,false,true,false,false
4/18/2025,false,false,false,true
5/2/2025,false,true,false,false
5/26/2025,false,false,false,true
6/16/2025,false,true,false,false
6/17/2025,false,true,false,false
